ParkingSpot,LicenseNum,VehicleType,VehicleSize,CheckedIn,CheckedOut
0,NRG001,Car,4,2022-03-21 14:08:08.3522323,
1,HSF903,Car,4,2022-03-21 14:08:08.3522323,
2,SJF000,Mc,2,2022-03-21 14:08:08.3522323,
33,HUH665,Car,4,2022-03-21 14:08:08.3522323,
2,LSS122,Mc,2,2022-03-21 14:08:08.3522323,
47,UUF877,Mc,2,2022-03-21 14:08:08.3522323,
5,OOJ87J,Mc,2,2022-03-21 14:08:08.3522323,
61,QWE056,Car,4,2022-03-21 14:08:08.3522323,
7,BVN890,Car,4,2022-03-21 14:08:08.3522323,
89,AHA12Q,Car,4,2022-03-21 14:08:08.3522323,
93,KLL074,Mc,2,2022-03-21 15:27:22.3374142,
77,NZX900,Car,4,2022-03-21 15:27:22.3374142,
11,JU-09-LF,Car,4,2022-03-21 15:27:22.3374142,
12,BYT-888,Car,4,2022-03-21 15:27:22.3374142,
93,GS-51-JS,Mc,2,2022-03-21 15:27:22.3374142,
13,HNB-809,Car,4,2022-03-21 15:27:31.5297423,
14,GH 09822,Car,4,2022-03-21 15:27:31.5297423,
56,JK 00134,Car,4,2022-03-21 15:27:31.5297423,
20,GH3L S3B,Mc,2,2022-03-21 15:27:31.5297423,
17,HY7S 3SD,Mc,2,2022-03-21 15:27:31.5297423,
